2026-06-21T05:45:39.769Z pw:api navigating to "https://www.rediff.com/", waiting until "load"
2026-06-21T05:45:40.960Z pw:api   "commit" event fired
2026-06-21T05:45:42.713Z pw:api   navigated to "https://imasdk.googleapis.com/js/core/bridge3.772.0_en.html#deid=%22%22&eventfe_experiment_ids=%5B%5D&fid=%22goog_1738916193%22&genotype_experiment_data=%7B%22experimentStateProto%22%3A%22%5B%5B%5B45713128%2Cnull%2Cnull%2C%5B%5D%5D%2C%5B45796605%2Cnull%2Cnull%2C%5B%5D%5D%2C%5Bnull%2C745150931%2Cnull%2C%5Bnull%2C1%5D%5D%2C%5Bnull%2C749060184%2Cnull%2C%5Bnull%2C128%5D%5D%2C%5B841585769%2Cnull%2Cnull%2C%5B1%5D%5D%2C%5B45761044%2Cnull%2Cnull%2C%5B%5D%5D%2C%5B45722344%2Cnull%2Cnull%2C%5B%5D%5D%2C%5B45801847%2Cnull%2Cnull%2C%5B%5D%5D%2C%5B45774999%2Cnull%2Cnull%2C%5B1%5D%5D%2C%5B45784857%2Cnull%2Cnull%2C%5B%5D%5D%2C%5Bnull%2Cnull%2C45792627%2C%5B%5D%5D%2C%5B45668885%2Cnull%2Cnull%2C%5B%5D%5D%2C%5B45685340%2Cnull%2Cnull%2C%5B%5D%5D%2C%5B45765927%2Cnull%2Cnull%2C%5B1%5D%5D%2C%5B45734716%2Cnull%2Cnull%2C%5B%5D%5D%2C%5B45735891%2Cnull%2Cnull%2C%5B%5D%5D%2C%5B45663239%2Cnull%2Cnull%2C%5B%5D%5D%2C%5B45661356%2Cnull%2Cnull%2C%5B%5D%5D%2C%5B839547366%2Cnull%2Cnull%2C%5B1%5D%5D%2C%5B45676441%2Cnull%2Cnull%2C%5B%5D%5D%2C%5Bnull%2C45645574%2Cnull%2C%5B%5D%5D%2C%5B45688859%2Cnull%2Cnull%2C%5B%5D%5D%2C%5B45685601%2Cnull%2Cnull%2C%5B%5D%5D%2C%5Bnull%2C45685602%2Cnull%2C%5Bnull%2C500%5D%5D%2C%5Bnull%2C45767902%2Cnull%2C%5Bnull%2C500%5D%5D%2C%5B45756824%2Cnull%2Cnull%2C%5B%5D%5D%2C%5B45794243%2Cnull%2Cnull%2C%5B%5D%5D%2C%5B45747172%2Cnull%2Cnull%2C%5B%5D%5D%2C%5B775241416%2Cnull%2Cnull%2C%5B%5D%5D%2C%5B781107959%2Cnull%2Cnull%2C%5B%5D%5D%2C%5B781107958%2Cnull%2Cnull%2C%5B%5D%5D%2C%5B792614055%2Cnull%2Cnull%2C%5B%5D%5D%2C%5B781107957%2Cnull%2Cnull%2C%5B%5D%5D%2C%5B45729602%2Cnull%2Cnull%2C%5B%5D%5D%2C%5B45753603%2Cnull%2Cnull%2C%5B%5D%5D%2C%5B45753604%2Cnull%2Cnull%2C%5B%5D%5D%2C%5B45761216%2Cnull%2Cnull%2C%5B%5D%5D%5D%2C%5B%5B16%2C%5B%5B1%2C%5B%5B31089630%5D%2C%5B31089631%2C%5B%5B45668885%2Cnull%2Cnull%2C%5B1%5D%5D%5D%5D%5D%5D%2C%5B10%2C%5B%5B31097690%5D%2C%5B31097691%2C%5B%5B846355750%2Cnull%2Cnull%2C%5B1%5D%5D%5D%5D%5D%5D%2C%5B1000%2C%5B%5B95332046%5D%5D%5D%2C%5Bnull%2C%5B%5B95332047%5D%5D%5D%2C%5B10%2C%5B%5B95338769%2C%5B%5Bnull%2C45645574%2Cnull%2C%5Bnull%2C1%5D%5D%5D%5D%2C%5B95338770%2C%5B%5Bnull%2C45645574%2Cnull%2C%5Bnull%2C2%5D%5D%5D%5D%5D%5D%2C%5B50%2C%5B%5B95345206%5D%2C%5B95345207%2C%5B%5B45661356%2Cnull%2Cnull%2C%5B1%5D%5D%5D%5D%5D%5D%2C%5B1%2C%5B%5B95351425%5D%2C%5B95351426%2C%5B%5B45676441%2Cnull%2Cnull%2C%5B1%5D%5D%5D%5D%5D%5D%2C%5B100%2C%5B%5B95356068%5D%2C%5B95356069%2C%5B%5B45685601%2Cnull%2Cnull%2C%5B%5D%5D%2C%5Bnull%2C45685602%2Cnull%2C%5B%5D%5D%5D%5D%2C%5B95356070%2C%5B%5B45685601%2Cnull%2Cnull%2C%5B1%5D%5D%2C%5Bnull%2C45685602%2Cnull%2C%5B%5D%5D%5D%5D%2C%5B95356071%2C%5B%5B45685601%2Cnull%2Cnull%2C%5B1%5D%5D%2C%5Bnull%2C45685602%2Cnull%2C%5Bnull%2C100%5D%5D%5D%5D%5D%5D%2C%5B1%2C%5B%5B95373378%2C%5B%5B792614055%2Cnull%2Cnull%2C%5B1%5D%5D%5D%5D%2C%5B95373379%2C%5B%5B45747172%2Cnull%2Cnull%2C%5B1%5D%5D%2C%5B781107959%2Cnull%2Cnull%2C%5B1%5D%5D%2C%5B792614055%2Cnull%2Cnull%2C%5B1%5D%5D%2C%5B781107957%2Cnull%2Cnull%2C%5B1%5D%5D%5D%5D%5D%5D%2C%5B10%2C%5B%5B95378629%5D%2C%5B95378630%2C%5B%5B45729602%2Cnull%2Cnull%2C%5B1%5D%5D%5D%5D%2C%5B95381582%2C%5B%5B45729602%2Cnull%2Cnull%2C%5B1%5D%5D%2C%5B45753603%2Cnull%2Cnull%2C%5B1%5D%5D%5D%5D%2C%5B95381583%2C%5B%5B45729602%2Cnull%2Cnull%2C%5B1%5D%5D%2C%5B45753604%2Cnull%2Cnull%2C%5B1%5D%5D%5D%5D%5D%5D%2C%5B50%2C%5B%5B95382403%2C%5B%5B45794243%2Cnull%2Cnull%2C%5B1%5D%5D%5D%5D%2C%5B95386528%2C%5B%5Bnull%2C45767902%2Cnull%2C%5B%5D%5D%2C%5B45756824%2Cnull%2Cnull%2C%5B1%5D%5D%5D%5D%5D%5D%2C%5B10%2C%5B%5B95389581%5D%2C%5B95389582%2C%5B%5B635466687%2Cnull%2Cnull%2C%5B1%5D%5D%5D%5D%5D%5D%2C%5B10%2C%5B%5B95390088%5D%2C%5B95390089%2C%5B%5B45784857%2Cnull%2Cnull%2C%5B1%5D%5D%5D%5D%5D%5D%2C%5Bnull%2C%5B%5B95391735%5D%5D%5D%2C%5B10%2C%5B%5B95391980%5D%2C%5B95391981%2C%5B%5Bnull%2Cnull%2C45792627%2C%5Bnull%2Cnull%2C%5C%22https%3A%2F%2Fpagead2.googlesyndication.com%2Fpagead%2Fmanaged%2Fjs%2Factiveview%2Fcurrent%2Frx_omid_video.js%5C%22%5D%5D%5D%5D%2C%5B95391982%2C%5B%5Bnull%2Cnull%2C45792627%2C%5Bnull%2Cnull%2C%5C%22https%3A%2F%2Fpagead2.googlesyndication.com%2Fomsdk%2Freleases%2Flive%2Fomid_monitoring_bin.js%5C%22%5D%5D%5D%5D%5D%5D%2C%5B50%2C%5B%5B95392425%5D%2C%5B95392426%2C%5B%5B45761216%2Cnull%2Cnull%2C%5B1%5D%5D%5D%5D%5D%5D%2C%5B10%2C%5B%5B95393784%5D%2C%5B95393785%2C%5B%5B45796605%2Cnull%2Cnull%2C%5B1%5D%5D%5D%5D%5D%5D%2C%5B10%2C%5B%5B95394237%5D%2C%5B95394238%2C%5B%5B45801847%2Cnull%2Cnull%2C%5B1%5D%5D%5D%5D%5D%5D%5D%5D%5D%2Cnull%2Cnull%2C%5Bnull%2C1000%2C1%2C1000%5D%5D%22%7D&imalib_experiments=%5B44752711%2C95322027%2C95331589%2C95332046%2C95356069%5D&is_eap_loader=false&managed_js_experiment_id=0&page_correlator=206274298713139&pvsid=6381673977269501&top_accessible_page_url=%22https%3A%2F%2Fwww.rediff.com%2F%22"
2026-06-21T05:45:42.982Z pw:api   navigated to "https://cm.g.doubleclick.net/partnerpixels?url=https%3A%2F%2Fwww.rediff.com%2F"
2026-06-21T05:45:42.992Z pw:api   navigated to "https://www.googleadservices.com/pagead/managed/js/activeview/current/reach_worklet.html"
2026-06-21T05:45:43.097Z pw:api   navigated to "https://8d7c196576d8878cecf6b18c4ae4437e.safeframe.googlesyndication.com/safeframe/1-0-45/html/container.html"
2026-06-21T05:45:43.660Z pw:api   navigated to "https://um.simpli.fi/pubmatic?https://simage2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9ODA2JnRsPTUxODQwMA==&piggybackCookie=uid:$UID&gdpr=0&gdpr_consent=&us_privacy=&gpp=&gpp_sid="
2026-06-21T05:45:43.771Z pw:api   navigated to "https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9ODImdGw9MTU3NjgwMCZkcF9pZD0yMg==&piggybackCookie=4209878105785997892&gdpr=0&gdpr_consent=&us_privacy="
2026-06-21T05:45:43.839Z pw:api   navigated to "https://c1.adform.net/serving/cookie/match?CC=1&party=14&cid=61E94391-23BD-4070-A515-B119B915725B&gdpr=0&gdpr_consent="
2026-06-21T05:45:43.890Z pw:api   navigated to "https://simage2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZjb2RlPTQwNjQmdGw9NDMyMDA=&piggybackCookie=y-HulNoypE2oDjL2e9yyUozV0XjE_QWZEH83VCcwM-~A&gdpr=0"
2026-06-21T05:45:44.016Z pw:api   navigated to "https://image4.pubmatic.com/AdServer/SPug?partnerID=156078&xid=y-LcC7Fx1E2uUGVzQ0T1jahQ5p3D1X_Uc-~A&gdpr=0&us_privacy="
2026-06-21T05:45:44.077Z pw:api   navigated to "https://simage2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZjb2RlPTQwNjQmdGw9NDMyMDA=&piggybackCookie=y-ExqKQg5E2oDHVy5QkA5rfycBMJANW.iafbNGT1E-~A&gdpr=0"
2026-06-21T05:45:44.249Z pw:api   navigated to "https://simage2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZjb2RlPTM2MiZ0bD0xMjk2MDA==&piggybackCookie=uid:e0fb6a37-7a88-4400-9edc-265ec77482ed&gdpr=0&gdpr_consent="
2026-06-21T05:45:46.491Z pw:api   navigated to "https://simage2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZjb2RlPTI4NzUmdGw9NDMyMDA=&gdpr=0&gdpr_consent=&gpp=&gpp_sid=&piggybackCookie=5810844033174892661"
2026-06-21T05:45:46.577Z pw:api   navigated to "https://simage2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZjb2RlPTI4NzUmdGw9NDMyMDA=&gdpr=0&gdpr_consent=&gpp=&gpp_sid=&piggybackCookie=5810844033174892661"
2026-06-21T05:45:46.653Z pw:api   navigated to "https://www.temu.com/api/adx/cm/pixel-pubmatic?id=61E94391-23BD-4070-A515-B119B915725B&gdpr=0&gdpr_consent=&us_privacy="
2026-06-21T05:45:46.674Z pw:api   navigated to "https://image2.pubmatic.com/AdServer/Pug?gdpr=0&vcode=bz0yJnR5cGU9MSZjb2RlPTExMTMmdGw9NDMyMDA=&piggybackCookie=_Mo3Ov3KPGznymU98pMpNfzKNjznkjZprJMJzgAK"
2026-06-21T05:45:46.690Z pw:api   navigated to "https://simage2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZjb2RlPTc4JnRsPTE1NzY4MDA=&piggybackCookie=2222602098470441557&gdpr=0&gdpr_consent=&us_privacy=&gpp=&gpp_sid="
2026-06-21T05:45:46.733Z pw:api   navigated to "https://image2.pubmatic.com/AdServer/Pug?gdpr=0&vcode=bz0yJnR5cGU9MSZjb2RlPTExMTMmdGw9NDMyMDA=&piggybackCookie=3nJyJN9yeXLFcXkgi3Fsd9Eic3LFdXhwiyZv2CHb"
2026-06-21T05:45:46.749Z pw:api   navigated to "https://simage2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZjb2RlPTc4JnRsPTE1NzY4MDA=&piggybackCookie=2222602098470441557&gdpr=0&gdpr_consent=&us_privacy=&gpp=&gpp_sid="
2026-06-21T05:45:46.784Z pw:api   navigated to "https://simage2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MjE5MSZ0bD0yNTkyMDA=&piggybackCookie=ajd6igAAAMJh_wA4&gdpr=0&gdpr_consent=&_test=ajd6igAAAMJh_wA4"
2026-06-21T05:45:46.841Z pw:api   navigated to "https://simage2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZjb2RlPTQ2MSZ0bD0xMDA4MA==&piggybackCookie=AQAKkOyeuVrVewIkmeP-AQEBAQEBAQCf6bevpwEBAJ_pt6-n&expiration=1782107146&nuid=61E94391-23BD-4070-A515-B119B915725B&gpp_sid=&gpp=&is_secure=true&us_privacy=&gdpr_consent=&gdpr=0"
2026-06-21T05:45:46.917Z pw:api   navigated to "https://www.temu.com/api/adx/cm/pixel-pubmatic?id=61E94391-23BD-4070-A515-B119B915725B&gdpr=0&gdpr_consent=&us_privacy="
2026-06-21T05:45:47.050Z pw:api   navigated to "https://simage2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZjb2RlPTQ2MSZ0bD0xMDA4MA==&piggybackCookie=AQAKcD9EzA5hlgIQEPOtAQEBAQEBAQCf6beubAEBAJ_pt65s&expiration=1782107147&nuid=61E94391-23BD-4070-A515-B119B915725B&gpp_sid=&gpp=&is_secure=true&us_privacy=&gdpr_consent=&gdpr=0"
2026-06-21T05:45:47.067Z pw:api   navigated to "https://simage2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MjE5MSZ0bD0yNTkyMDA=&piggybackCookie=ajd6iwAAAT9oUAA4&gdpr=0&gdpr_consent=&_test=ajd6iwAAAT9oUAA4"
2026-06-21T05:45:47.136Z pw:api   navigated to "https://simage2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZjb2RlPTMwNTQmdGw9NDMyMDA%3D&piggybackCookie=2hzNWgeLprzn3eNDtLniMdZSyJhhPOuiS7Ea018lUrs&pi=pubmatic&gdpr=0&gdpr_consent=&us_privacy=&gpp=&gpp_sid=&tc=1"
2026-06-21T05:45:47.292Z pw:api   navigated to "https://simage2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZjb2RlPTMwNTQmdGw9NDMyMDA%3D&piggybackCookie=l_y4e6i5M8zNpiLoNWmkNF49jOfqXL4OxqJeHgHiLS4&pi=pubmatic&gdpr=0&gdpr_consent=&us_privacy=&gpp=&gpp_sid=&tc=1"
2026-06-21T05:45:47.435Z pw:api   navigated to "https://simage2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZjb2RlPTM0MzEmdGw9MTI5NjAw&piggybackCookie=G5gMBaEQUp5JJmPqJHQHfd_pVss&gdpr=0&gdpr_consent="
2026-06-21T05:45:47.535Z pw:api   navigated to "https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZjb2RlPTM0ODkmdGw9NDMyMDA=&piggybackCookie=OPU4eb8b3142181417490d9fc32af91a2c4&gpdr=0&gdpr_consent="
2026-06-21T05:45:47.676Z pw:api   navigated to "https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZjb2RlPTM0ODkmdGw9NDMyMDA=&piggybackCookie=OPU4eb8b3142181417490d9fc32af91a2c4&gpdr=0&gdpr_consent="
2026-06-21T05:45:47.699Z pw:api   navigated to "https://simage2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZjb2RlPTM0MzEmdGw9MTI5NjAw&piggybackCookie=G5gMBaEQUp5JJmPqJHQHfd_pVss&gdpr=0&gdpr_consent="
2026-06-21T05:45:47.759Z pw:api   navigated to "https://simage2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9Mjk0NSZ0bD0xMjk2MDA=&piggybackCookie=295b3423-b2d1-4d57-be9b-e3336b2d3539&gdpr=0&gdpr_consent=&gdpr_pd=&us_privacy="
2026-06-21T05:45:47.939Z pw:api   navigated to "https://simage2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9Mjk0NSZ0bD0xMjk2MDA=&piggybackCookie=295b3423-b2d1-4d57-be9b-e3336b2d3539&gdpr=&gdpr_consent=&gdpr_pd=&us_privacy="
2026-06-21T05:45:47.957Z pw:api   "load" event fired
2026-06-21T05:45:47.965Z pw:api taking page screenshot
2026-06-21T05:45:47.993Z pw:api waiting for fonts to load...
2026-06-21T05:45:47.995Z pw:api fonts loaded
